이름,주소
한지테마파크,강원 원주시 한지공원길 151 (무실동)
원주허브팜,강원 원주시 마장2길 33 (무실동)
역사박물관,강원 원주시 봉산로 134 (봉산동)
고판화박물관,강원 원주시 신림면 물안길 62 (황둔리)
뮤지엄산（Museum SAN）,강원도 원주시 지정면 오크밸리2길 260
소금산 출렁다리,원주시 지정면 소금산길 12
소금산 암벽등반,강원 원주시 지정면 소금산길 (간현리)
간현관광지（제 5경）,강원 원주시 지정면 소금산길 12
판대 아이스 파크,강원도 원주시 지정면 지정로 1073
간현역,강원도 원주시 지정면 간현로 163
기후변화홍보관,강원도 원주시 행구로 362 (행구동)
동화마을수목원,강원도 원주시 문막읍 동화골길 170
비로봉（제 4경）,강원 원주시 소초면 무쇠점2길 26
벼락바위봉,강원 원주시 판부면
명봉산,강원 원주시 문막읍 건등리
매봉산,강원 원주시 신림면
구학산,강원 원주시 신림면 구학리
구룡산,강원 원주시 지정면 간현리
간현봉,강원 원주시 지정면
감악산,강원 원주시 신림면 황둔리
미륵산,강원 원주시 귀래면 주포리
십자봉,강원 원주시 귀래면
치악산,강원 원주시 소초면 학곡리
구룡폭포,강원 원주시 소초면 학곡리
세렴폭포,강원 원주시 소초면 학곡리
천은사계곡,강원 원주시 귀래면 귀래리
구룡사계곡,강원 원주시 소초면 학곡리
관음사/국형사계곡,강원 원주시 행구동
금대계곡,강원 원주시 판부면 금대리
용수골계곡,강원 원주시 판부면 서곡 리
백운계곡,강원 원주시 귀래면 귀래리
섬안이유원지,강원 원주시 신림면 송계리
칠봉유원지,강원 원주시 호저면 칠봉마을길 35
민속풍물시장,강원 원주시 강변로 531-1 (평원동)
남부시장,강원 원주시 치악로 1803 (명륜동)
자유시장,"강원 원주시 중앙시장길 11 중앙동 (중앙동, 자유시장)"
중앙시민전통시장,강원 원주시 중앙시장길 31-3
문막시장,강원 원주시 문막읍 문막시장1길 52-10 일대
중앙시장,강원 원주시 중앙시장길 6
문화의 거리,강원 원주시 중앙동
농업인 새벽시장,원주시 평원동 54
치악예술관,강원 원주시 서원대로 331
백운아트홀,강원 원주시 시청로 1 (무실동)
토지문화관,강원 원주시 흥업면 매지회촌길 79
옻칠기공예관,강원 원주시 소초면 구룡사로 142
전통산업진흥센터(칠예관),강원 원주시 상지대길 84 상지영서대학교 전통산업진흥센터내
국민건강보험공단(건이·강이여행),"강원 원주시 건강로 32(반곡동, 국민건강보험공단)"
영원산성(제 6경),강원 원주시 판부면 영원산성길 685
용소막성당(제 7경),강원 원주시 신림면 구학산로 1857
박경리문학공원,강원 원주시 토지길 1 (단구동)
매지호수길,강원도 원주시 흥업면 매지리 1386
